,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Gyro 0,Gyro 1,Gyro 2,Orientation 0,Orientation 1,Orientation 2,Orientation 3
250,53,51,107,116,24,43,68,45,-88,12,49,-4041,7619,2915,13621
251,53,51,107,116,24,43,68,45,-76,9,41,-4042,7622,2900,13623
252,47,50,107,117,23,41,70,46,-76,9,41,-4042,7622,2900,13623
253,47,50,107,117,23,41,70,46,-64,11,55,-4044,7625,2887,13623
254,42,44,111,117,22,40,71,46,-64,11,55,-4044,7625,2887,13623
255,42,44,111,117,22,40,71,46,-26,24,60,-4051,7623,2877,13624
256,44,39,110,108,23,40,71,42,-26,24,60,-4051,7623,2877,13624
257,44,39,110,108,23,40,71,42,-31,30,80,-4060,7619,2867,13626
258,43,41,107,95,25,39,72,43,-31,30,80,-4060,7619,2867,13626
259,43,41,107,95,25,39,72,43,-79,26,98,-4068,7617,2847,13629
260,41,33,63,79,25,40,71,44,-79,26,98,-4068,7617,2847,13629
261,41,33,63,79,25,40,71,44,-129,-2,98,-4071,7622,2823,13630
262,34,34,66,74,27,41,68,43,-129,-2,98,-4071,7622,2823,13630
263,34,34,66,74,27,41,68,43,-191,-28,101,-4068,7636,2789,13630
264,32,33,74,84,29,41,72,45,-191,-28,101,-4068,7636,2789,13630
265,32,33,74,84,29,41,72,45,-202,-26,114,-4067,7655,2751,13627
266,28,32,78,98,30,40,71,48,-202,-26,114,-4067,7655,2751,13627
267,28,32,78,98,30,40,71,48,-128,-34,91,-4070,7675,2725,13620
268,42,35,77,87,27,41,71,146,-128,-34,91,-4070,7675,2725,13620
269,42,35,77,87,27,41,71,146,-3,-35,72,-4081,7688,2718,13611
270,47,44,80,83,28,43,72,270,-3,-35,72,-4081,7688,2718,13611
271,47,44,80,83,28,43,72,270,35,-40,83,-4094,7696,2720,13602
272,68,54,82,91,26,43,83,501,35,-40,83,-4094,7696,2720,13602
273,68,54,82,91,26,43,83,501,22,-115,59,-4102,7716,2722,13588
274,104,56,74,84,30,59,79,661,22,-115,59,-4102,7716,2722,13588
275,104,56,74,84,30,59,79,661,76,-115,50,-4110,7731,2738,13574
276,122,57,82,75,31,66,79,701,76,-115,50,-4110,7731,2738,13574
277,122,57,82,75,31,66,79,701,81,-109,29,-4120,7748,2749,13559
278,130,57,82,76,32,67,78,691,81,-109,29,-4120,7748,2749,13559
279,130,57,82,76,32,67,78,691,88,-73,50,-4135,7757,2759,13548
280,135,60,90,75,32,67,75,658,88,-73,50,-4135,7757,2759,13548
281,135,60,90,75,32,67,75,658,128,-63,31,-4148,7765,2778,13535
282,130,52,82,65,32,68,64,516,128,-63,31,-4148,7765,2778,13535
283,130,52,82,65,32,68,64,516,56,-27,54,-4158,7768,2788,13528
284,107,50,76,58,27,58,65,294,56,-27,54,-4158,7768,2788,13528
285,107,50,76,58,27,58,65,294,-50,-17,65,-4162,7775,2777,13525
286,89,49,69,56,25,49,67,192,-50,-17,65,-4162,7775,2777,13525
287,89,49,69,56,25,49,67,192,-141,6,76,-4160,7781,2752,13527
288,69,46,65,54,24,48,68,182,-141,6,76,-4160,7781,2752,13527
289,69,46,65,54,24,48,68,182,-183,22,76,-4156,7790,2718,13530
290,53,33,46,48,24,44,71,167,-183,22,76,-4156,7790,2718,13530
291,53,33,46,48,24,44,71,167,-198,57,81,-4154,7795,2678,13536
292,43,30,39,49,26,44,69,128,-198,57,81,-4154,7795,2678,13536
293,43,30,39,49,26,44,69,128,-171,85,92,-4158,7794,2637,13544
294,36,29,40,49,25,40,69,97,-171,85,92,-4158,7794,2637,13544
295,36,29,40,49,25,40,69,97,-77,94,59,-4166,7787,2611,13550
296,34,35,40,43,25,41,68,70,-77,94,59,-4166,7787,2611,13550
297,34,35,40,43,25,41,68,70,51,84,-3,-4175,7773,2610,13555
298,34,36,42,41,26,37,68,61,51,84,-3,-4175,7773,2610,13555
299,34,36,42,41,26,37,68,61,33,85,22,-4183,7758,2611,13562
300,32,39,43,46,23,38,66,43,33,85,22,-4183,7758,2611,13562
301,32,39,43,46,23,38,66,43,-27,59,18,-4184,7753,2604,13566
302,36,40,62,53,22,37,66,40,-27,59,18,-4184,7753,2604,13566
303,36,40,62,53,22,37,66,40,43,49,-13,-4189,7746,2606,13567
304,35,46,85,93,23,38,65,42,43,49,-13,-4189,7746,2606,13567
305,35,46,85,93,23,38,65,42,67,63,9,-4197,7736,2615,13569
306,32,42,99,116,24,39,65,42,67,63,9,-4197,7736,2615,13569
307,32,42,99,116,24,39,65,42,23,46,22,-4202,7728,2617,13572
308,32,46,106,162,23,40,67,44,23,46,22,-4202,7728,2617,13572
309,32,46,106,162,23,40,67,44,-13,45,27,-4205,7723,2612,13575
310,32,47,107,170,26,42,69,42,-13,45,27,-4205,7723,2612,13575
311,32,47,107,170,26,42,69,42,-28,21,35,-4209,7722,2604,13575
312,25,51,108,175,26,40,71,40,-28,21,35,-4209,7722,2604,13575
313,25,51,108,175,26,40,71,40,-43,18,48,-4213,7722,2593,13576
314,32,66,122,184,26,39,70,42,-43,18,48,-4213,7722,2593,13576
315,32,66,122,184,26,39,70,42,40,33,9,-4220,7715,2595,13578
316,32,77,117,183,24,38,69,42,40,33,9,-4220,7715,2595,13578
